function,tabelas_lidas,verify_jwt,usa_service_role
ai-auto-tag,"",true,1
ai-churn-analysis,"contacts;messages",true,1
ai-classify-tickets,"ai_conversation_tags",true,1
ai-conversation-analysis,"",true,1
ai-conversation-summary,"",true,1
ai-enhance-message,"",true,0
ai-proxy,"",true,1
ai-suggest-reply,"",true,1
ai-transcribe-audio,"",true,1
analyze-external-db,"",true,0
approve-password-reset,"password_reset_requests",true,1
auto-close-conversations,"",true,1
batch-fetch-avatars,"",true,1
bitrix-api,"",true,1
chatbot-l1,"",true,1
classify-audio-meme,"",true,0
classify-emoji,"",true,0
classify-sticker,"",true,0
cleanup-rate-limit-logs,"blocked_ips;rate_limit_logs;security_alerts",true,1
connection-health-check,"",true,1
create-user,"gmail_accounts;profiles;user_roles;user_service_accounts",true,1
detect-new-device,"security_alerts;user_devices;user_sessions",true,1
elevenlabs-agent-token,"",true,0
elevenlabs-dialogue,"",true,0
elevenlabs-scribe-token,"",true,0
elevenlabs-sfx,"",true,0
elevenlabs-sts,"",true,0
elevenlabs-tts-stream,"",true,0
elevenlabs-tts,"",true,0
elevenlabs-voice-design,"",true,0
elevenlabs-webhook,"",true,1
evolution-api,"",true,1
evolution-health,"",true,1
evolution-sync,"",true,1
evolution-webhook,"",true,1
external-db-bridge,"query_telemetry",true,1
external-db-proxy,"",true,0
fetch-link-preview,"",true,1
get-mapbox-token,"",true,0
get-sip-password,"",true,0
gmail-oauth,"gmail_accounts;profiles",true,1
gmail-send,"email_messages;gmail_accounts;profiles",true,1
gmail-sync,"gmail_accounts;profiles",true,1
gmail-webhook,"contacts;email_messages;email_threads;gmail_accounts",true,1
migrate-media-storage,"",true,1
promogifts-catalog,"categories;product_variants;products;suppliers",true,0
public-api,"",true,1
recover-corrupted-audios,"audio-messages;messages;whatsapp_connections",true,1
send-email,"",true,0
send-rate-limit-alert,"blocked_ips;notifications;security_alerts;user_roles",true,1
send-scheduled-report,"agent_stats;contacts;conversation_analyses;conversation_sla;messages;scheduled_reports",true,1
sentiment-alert,"",true,1
sicoob-bridge-reply,"",true,1
sicoob-bridge,"",true,1
talkx-scheduler,"talkx_campaigns",true,1
talkx-send,"talkx_blacklist;talkx_campaigns;talkx_recipients;whatsapp_connections",true,1
voice-agent,"",true,0
voice-changer,"",true,0
voice-copilot-action,"",true,1
webauthn,"",true,1
webhook-diagnostic,"",true,1
whatsapp-webhook,"",true,1
